station_id,station_name,latitude,longitude,malecount,femalecount,SUM,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,age101,age20m,age20f,age25m,age25f,age30m,age30f,age35m,age35f,age40m,age40f,age45m,age45f,age50m,age50f,age55m,age55f,age60m,age60f,age65m,age65f,age70m,age70f,age75m,age75f,age80m,age80f,age85m,age85f,age90m,age90f,age95m,age95f,age100m,age100f,age101m,age101f
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,4844,1809,8189,4,877,982,1268,1270,710,779,451,217,76,22,2,2,0,0,0,0,1529,3,0,562,315,777,205,829,433,923,347,550,160,667,112,248,203,202,15,58,18,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
247,Perry St & Bleecker St,40.73535398,-74.00483091,28508,12111,48138,123,1737,6577,8834,6808,4335,3875,3167,2672,1334,936,188,59,0,0,0,0,7492,103,20,1052,685,4241,2310,6282,2551,4277,2529,3446,889,3112,763,2052,1114,1905,767,972,362,832,104,184,4,46,13,0,0,0,0,0,0,0,0,3,0
248,Laight St & Hudson St,40.72185379,-74.00771779,12306,4101,18214,93,897,2396,2452,1895,2466,2299,1985,1330,373,151,71,2,0,0,0,6,1798,90,0,681,216,1539,857,1731,719,1459,426,1833,633,1599,700,1708,277,1126,204,310,63,149,0,70,0,2,0,0,0,0,0,0,0,6,0,3,0
249,Harrison St & Hudson St,40.71870987,-74.0090009,22725,5984,31698,314,2029,4210,4430,4111,3337,3325,3025,1629,1254,915,42,150,0,0,0,2,2924,163,151,1599,430,2923,1286,3196,1176,3555,556,2771,560,2664,661,2643,380,1187,441,969,285,862,53,39,3,149,0,0,0,0,0,0,0,2,0,3,0
250,Lafayette St & Jersey St,40.72456089,-73.99565293,80588,28231,122722,1002,8042,23279,23668,15502,11727,9054,7515,4801,2876,1060,361,95,5,0,0,4,13731,819,176,5213,2827,16284,6974,17418,6235,12029,3367,9522,2185,6753,2301,5461,2036,3607,1190,2134,742,893,167,335,26,92,0,3,2,0,0,0,0,4,0,21,0
251,Mott St & Prince St,40.72317958,-73.99480012,49379,18151,78332,373,5287,16123,16310,10506,5470,4548,3384,2882,2071,591,118,8,0,0,0,3,10657,281,92,2946,2340,11239,4838,12312,3980,8276,2139,4345,1124,3540,1007,2538,846,1672,1210,1761,310,334,257,111,7,8,0,0,0,0,0,0,0,3,0,13,0
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,40515,13502,61611,644,4150,10369,10318,8470,3809,4769,4395,3335,2261,926,531,64,12,0,0,0,7558,561,83,2930,1214,7399,2965,7536,2781,6932,1511,3117,692,3564,1205,3391,1003,1774,1561,1961,300,871,53,449,82,13,51,12,0,0,0,0,0,0,0,5,0
253,W 13 St & 5 Ave,40.73543934,-73.99453948,33316,15445,54260,571,4469,8118,8440,6475,4739,5417,4033,3678,1743,777,315,33,5,6,6,0,5441,370,198,2723,1739,4803,3312,5638,2779,4504,1962,3790,940,3933,1480,2820,1212,2319,1358,1424,319,680,97,288,27,15,18,0,4,6,0,6,0,0,0,2,0
254,W 11 St & 6 Ave,40.73532427,-73.99800419,26797,11170,41540,367,2324,6870,6917,5131,3566,3939,3372,2488,2075,447,409,70,11,0,0,0,3554,273,88,1547,776,4340,2525,5129,1787,3384,1746,2420,1146,3215,721,2507,855,1852,636,1508,567,371,76,180,229,54,16,11,0,0,0,0,0,0,0,6,2
255,NYCBS Depot - SSP,40.646768,-74.01651,60,30,115,13,0,29,10,9,9,3,11,0,0,0,0,0,0,0,0,0,25,0,13,0,0,25,0,0,4,8,0,8,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
